playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0037,Decarro,#0122,Wanope,7,0,3,0
#0103,Xotune v29.73,#0030,Yenus,7,0,3,0
#0116,Soria,#0119,Xunus Mk XII,7,0,3,0
#0095,Rugawa,#0063,Logawa,7,2,1,0
#0087,Doyama Mk VII,#0002,Nonia,7,3,0,0
#0113,Kunope,#0061,Wuturn v18.96,7,2,1,0
#0017,Wonus,#0079,Dutune,7,3,0,0
#0036,Tenia,#0064,Zoclite,7,1,2,0
#0031,Ianov,#0109,Ioliv,7,3,0,0
#0013,Tewei v11.69,#0106,Jatania,7,3,0,0
#0085,Fupra,#0021,Selea,7,1,2,0
#0094,Monus,#0001,Gaphus,7,2,1,0
#0083,Hunus v28.9,#0118,Pucarro,7,3,0,0
#0114,Negantu,#0111,Herilia v14.82,7,2,1,0
#0096,Funerth,#0055,Sulara v35.90,7,1,2,0
#0028,Senus Mk XLIX,#0088,Julea,7,2,1,0
#0077,Vucarro v33.11,#0107,Danov,7,0,3,0
#0008,Tepra,#0041,Toliv v6.73,7,2,1,0
#0066,Ferilia,#0058,Guthea,7,1,2,0
#0099,Vathea,#0057,Ienov,7,1,2,0
#0075,Jenides,#0029,Nehiri,7,3,0,0
#0027,Yutania,#0062,Nanov,7,2,1,0
#0089,Lanus,#0022,Yocarro Mk XLVII,7,0,3,0
#0112,Matania,#0054,Halea v22.63,7,2,1,0
#0048,Yayama,#0007,Nostea,7,3,0,0
#0065,Huthea,#0080,Fuwei,7,0,3,0
#0090,Gohiri,#0100,Turilia v28.53,7,3,0,0
#0003,Tubos,#0076,Qater,7,0,3,0
#0097,Foter,#0043,Dayama,7,1,2,0
#0108,Getis,#0044,Wunus,7,1,2,0
#0026,Jolea,#0053,Zostea,7,0,3,0
#0071,Secarro,#0015,Honov,7,1,2,0
#0032,Later,#0120,Waria v41.6,7,0,3,0
#0115,Lethea Mk XCVII,#0020,Humia,7,2,1,0
#0024,Wehines Mk L,#0046,Henerth Mk VIII,7,3,0,0
#0047,Futis,#0117,Cethea,7,0,3,0
#0098,Suria Mk XCVII,#0121,Sugantu,7,3,0,0
#0060,Tonides,#0039,Cuvis,7,1,2,0
#0105,Nalea v36.5,#0023,Manope Mk XXXVII,7,2,1,0
#0078,Zuter,#0092,Yestea,7,2,1,0
#0040,Wuter Mk XVII,#0033,Lacarro,7,3,0,0
#0005,Cotania,#0014,Qewei Mk XCV,7,1,2,0
#0069,Bonope,#0084,Iuzuno,7,1,2,0
#0042,Potera,#0010,Xocury,7,2,1,0
#0070,Qunus,#0052,Qustea,7,1,2,0
#0059,Qewei,#0034,Pucury v46.28,7,2,1,0
#0093,Megantu,#0006,Sophus,7,0,3,0
#0025,Iapra,#0104,Nutera,7,1,2,0
#0018,Buwei,#0073,Vophus,7,3,0,0
#0067,Rozuno,#0009,Relia v12.42,7,0,3,0
#0012,Yutera Mk LXXXIV,#0068,Fucury,7,1,2,0
#0016,Purilia Mk XXXV,#0011,Wuwei v12.30,7,2,1,0
#0004,Pecury,#0050,Dovis v46.22,7,1,2,0
#0038,Selia,#0101,Fabos,7,3,0,0
#0086,Peturn,#0072,Xulia,7,3,0,0
#0051,Xaturn,#0045,Futer,7,0,3,0
#0103,Xotune v29.73,#0035,Haruta Mk XLIX,8,0,3,0
#0081,Wustea Mk LXXXVI,#0114,Negantu,8,3,0,0
#0113,Kunope,#0055,Sulara v35.90,8,0,3,0
#0017,Wonus,#0074,Petania Mk LXXXVII,8,0,3,0
#0122,Wanope,#0102,Huyama,8,1,2,0
#0019,Iavis v40.72,#0030,Yenus,8,1,2,0
#0056,Wahiri Mk LXXIV,#0091,Qalea,8,1,2,0
#0094,Monus,#0110,Keclite,8,0,3,0
#0035,Haruta Mk XLIX,#0081,Wustea Mk LXXXVI,9,1,2,0
#0055,Sulara v35.90,#0074,Petania Mk LXXXVII,9,3,0,0
#0102,Huyama,#0030,Yenus,9,2,1,0
#0091,Qalea,#0110,Keclite,9,0,3,0
#0081,Wustea Mk LXXXVI,#0055,Sulara v35.90,10,2,1,0
#0102,Huyama,#0110,Keclite,10,2,1,0
#0081,Wustea Mk LXXXVI,#0102,Huyama,11,2,1,0
